date_publication,reference,objet,acheteurs_public,lieux,date_limite,estimation,caution,url
17/07/2026,23/2026/BG,ACHAT  DE FOURNITURES POUR LE MATERIEL INFORMATIQUE POUR LE SECRETARIAT GENERAL  AU PROFIT DE LA PREFECTURE DE MEKNES,GOUVERNEUR DE LA PREFECTURE DE MEKNES,MEKNES,"{'date': '10/08/2026', 'time': '10:00'}","450 000,00","8 500,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1022731&orgAcronyme=g3h
29/07/2026,06/CC/2026,L’Achat de Fournitures pour Matériels Informatiques  Au Profit de la Cour de Cassation–En lot unique-,CHEF DU SERVICE DES RESSOURCES HUMAINES ET DES AFFAIRES FINANCIÈRES AUPRÈS DE LA CIRCONSCRIPTION JUDICIAIRE DE LA COUR D'APPEL DE RABAT,RABAT,"{'date': '10/08/2026', 'time': '10:00'}","838 560,00","16 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1027680&orgAcronyme=t5y
29/07/2026,24/2026/INDH,ACQUISITION DES ARTICLES POUR L’EQUIPEMENT D’UNE SALLE MULTISENSORIELLE AU PROFIT DE L’ASSOCIATION RBC.,GOUVERNEUR DE CHEFCHAOUEN,CHEFCHAOUEN,"{'date': '10/08/2026', 'time': '09:30'}","200 000,00","4 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1023337&orgAcronyme=g3h
24/07/2026,05/2026/BG,ACHAT DE MATERIEL INFORMATIQUE POUR SIEGE DE LA PROVINCE REHAMNA,GOUVERNEUR DE LA PROVINCE DE RHAMNA,REHAMNA,"{'date': '07/08/2026', 'time': '12:00'}","353 400,00","7 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1025652&orgAcronyme=g3h
15/07/2026,33/2026/SAD/GSTTTA,L’Achat de Matériel informatique pour les besoins du Groupement Sanitaire Territorial Tanger Tétouan Al-Hoceima en lot unique.,GROUPEMENT SANITAIRE TERRITORIAL TANGER - TETOUAN - AL HOCEIMA,TANGER-ASSILAH,"{'date': '07/08/2026', 'time': '11:30'}","7 994 400,00","120 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1023802&orgAcronyme=q9t
15/07/2026,28/2026/SAD/GSTTTA,Achat de Fournitures Informatiques pour les besoins du Groupement Sanitaire Territorial Tanger Tétouan Al-Hoceima en Lot unique,GROUPEMENT SANITAIRE TERRITORIAL TANGER - TETOUAN - AL HOCEIMA,TANGER-ASSILAH,"{'date': '07/08/2026', 'time': '11:00'}","1 179 000,00","17 500,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1023401&orgAcronyme=q9t
16/07/2026,AO/123/2026,"RENOUVELLEMENT DES LICENCES DE LA SOLUTION DE SAUVEGARDES
  pour le Compte de la Sté. AL Omrane Fès / Meknès",SOCIETE AL OMRANE FES MEKNES,FES,"{'date': '07/08/2026', 'time': '11:00'}","58 560,00","1 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1024230&orgAcronyme=j8k
24/07/2026,04/2026/BG,ACHAT DE  MATERIEL INFORMATIQUE  POUR LES COMMANDEMENTS RELEVANT DE LA PROVINCE RHAMNA,GOUVERNEUR DE LA PROVINCE DE RHAMNA,REHAMNA,"{'date': '07/08/2026', 'time': '11:00'}","233 400,00","4 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1025648&orgAcronyme=g3h
14/07/2026,15/2026/so3303up,Achat des fournitures pour matériel technique et informatique -Province de Sidi Kacem-Lot unique.,GOUVERNEUR DE LA PROVINCE DE SIDI KACEM,Province de Sidi Kacem,"{'date': '07/08/2026', 'time': '10:30'}","432 060,00","8 500,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1021844&orgAcronyme=g3h
16/07/2026,62/2026/OFPPT,"L’acquisition des équipements Informatiques destinés aux Cités des Métiers et des Compétences FES & ERRACHIDIA, répartie en lots suivants :

	Lot N° 01 : Ordinateurs de bureau tout en un 
	Lot N° 02 : Accessoires numériques
	Lot N° 03 : Serveurs et switch",OFFICE DE LA FORMATION PROFESSIONNELLE ET DE LA PROMOTION DU TRAVAIL,FES,"{'date': '07/08/2026', 'time': '10:00'}",,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1023855&orgAcronyme=o4d
24/07/2026,18/202/DPJT,Acquisition de licences d’antivirus pour le compte de la Circonscription Judiciaire de Tanger,DIRECTION PROVINCIALE DE LA JUSTICE A TANGER,TANGER-ASSILAH,"{'date': '06/08/2026', 'time': '12:00'}","480 000,00","9 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1015670&orgAcronyme=t5y
24/07/2026,31/BG/2026,Equipement en Matériel informatique du siège de la province de Larache.,GOUVERNEUR DE LA PROVINCE DE LARACHE,LARACHE,"{'date': '06/08/2026', 'time': '12:00'}","547 560,00","10 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1024798&orgAcronyme=g3h
22/07/2026,04/BP/2026,ACQUISITION ET MISE EN SERVICE DE MATERIEL TECHNIQUE ET INFORMATIQUE AU PROFIT DU CONSEIL PROVINCIAL D’OUARZAZATE,Province de  OUARZAZATE,Province d'Ouarzazate,"{'date': '06/08/2026', 'time': '11:00'}","234 408,00","4 600,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1012734&orgAcronyme=f9f
14/07/2026,04/2026,L’ACHAT DE MATÉRIEL INFORMATIQUE ET DE LOGICIELS AU PROFIT DU ROYAL GOLF RABAT DAR ES SALAM EN LOT UNIQUE.,ROYAL GOLF DAR ES SALAM,Wilaya de Rabat,"{'date': '06/08/2026', 'time': '11:00'}","582 739,20","10 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016133&orgAcronyme=a1t
14/07/2026,50/2026/ABHS,Fourniture de matériel informatique et de licences Microsoft,AGENCE DU BASSIN HYDRAULIQUE DU SEBOU,FES,"{'date': '06/08/2026', 'time': '11:00'}","846 948,00","15 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1023556&orgAcronyme=d4q
15/07/2026,39/2026/ABHL,ACHAT DE MATERIEL INFORMATIQUES AU PROFIT DE L’ABHL,AGENCE DU BASSIN HYDRAULIQUE DU LOUKKOS,TETOUAN,"{'date': '06/08/2026', 'time': '11:00'}","495 000,00","9 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1023597&orgAcronyme=d4q
15/07/2026,60/2026/OFPPT,"Acquisition des équipements informatiques destinés à la Cité des Métiers et des Compétences de Guelmim, répartie en lots suivants :
•	Lot n°01 : Microordinateurs
•	Lot n°02 : Ordinateurs portables
•	Lot n°03 : Accessoires numériques
•	Lot n°04 : Serveurs et switch",OFFICE DE LA FORMATION PROFESSIONNELLE ET DE LA PROMOTION DU TRAVAIL,GUELMIM,"{'date': '06/08/2026', 'time': '10:00'}",,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1023680&orgAcronyme=o4d
14/07/2026,11/2026/DRCAO,Acquisition du matériel informatiques pour les besoins des antennes du Centre Régional des Jeunes Entrepreneurs Agricole au niveau du SPMOCA de Bouarfa et du Driouch et le CCA de Ain Béni Mathar dans le cadre du programme IHYAE.,"OFFICE NATIONAL DU CONSEIL AGRICOLE, DIRECTION REGIONALE DE L'ORIENTAL",OUJDA-ANGAD,"{'date': '05/08/2026', 'time': '14:00'}","147 600,00","3 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1023005&orgAcronyme=q1s
14/07/2026,03/2026,"L’ACHAT DE FOURNITURES POUR LE MATERIEL INFORMATIQUE DU ROYAL GOLF RABAT DAR ES SALAM, EN LOT UNIQUE.",ROYAL GOLF DAR ES SALAM,Wilaya de Rabat,"{'date': '05/08/2026', 'time': '11:00'}","591 612,00","10 000,00 MAD ",https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1016053&orgAcronyme=a1t
